customer_id,branch_id,application_date,region,rural_urban,age,gender,marital_status,household_size,education_level,employment_status,business_type,business_age_years,monthly_income,monthly_expenses,savings_balance,existing_debt,debt_to_income_ratio,savings_to_income_ratio,income_stability,collateral,credit_history_years,previous_defaults,mobile_money_score,loan_amount,loan_term_months,interest_rate,repayment_history,loan_cycle,group_lending,model_version,decision_timestamp,monitoring_date,risk_score,prediction_probability,risk_category,human_review,manual_override,drift_score,loan_status
CUST000014,BR037,2024-05-19,Central,Urban,35,Male,Widowed,8,Secondary,Farmer,Agriculture,10,84946.72,48964.25,16468.7,12719.7,0.15,0.194,Stable,Yes,4,0,81.2,129138.87,18,24.9,Good,1,Yes,SAFE-MFI-v1,2023-07-24,2023-05-31,6,0.9526,Low,No,No,0.241,1
CUST000015,BR033,2024-06-27,South,Rural,30,Male,Married,7,Secondary,Farmer,Agriculture,14,131911.42,93863.74,62310.34,18429.77,0.14,0.472,Unstable,No,19,2,69.4,162752.25,36,18.11,Good,5,Yes,SAFE-MFI-v1,2023-08-01,2023-10-03,2,0.7311,Medium,No,No,0.092,1
CUST000016,BR007,2023-11-15,East,Rural,49,Male,Divorced,4,Primary,Farmer,Services,15,104134.62,63318.75,25782.32,5677.38,0.055,0.248,Moderately Stable,No,1,0,66.9,288929.27,24,10.34,Average,1,Yes,SAFE-MFI-v1,2023-09-25,2024-06-20,4,0.8808,Medium,No,No,0.135,1
CUST000017,BR029,2025-05-25,Central,Urban,23,Male,Single,5,Primary,Artisan,Retail,11,165812.23,110730.9,32942.71,21488.07,0.13,0.199,Unstable,No,13,0,24.5,43623.34,18,17.85,Good,1,No,SAFE-MFI-v1,2024-03-06,2024-05-26,6,0.9526,Low,No,No,0.192,1
CUST000018,BR023,2025-04-12,Central,Urban,38,Male,Married,5,Primary,Trader,Retail,5,159464.59,124857.21,69984.0,4362.09,0.027,0.439,Unstable,No,13,1,53.2,73131.63,12,26.02,Good,6,Yes,SAFE-MFI-v1,2023-03-21,2025-08-21,5,0.9241,Low,No,No,0.105,1
CUST000019,BR030,2024-12-17,East,Urban,56,Male,Single,8,Primary,Trader,Manufacturing,8,139651.32,85556.72,33912.52,4263.77,0.031,0.243,Stable,No,8,0,87.2,151362.74,36,19.88,Good,5,Yes,SAFE-MFI-v1,2023-02-26,2023-08-25,7,0.9707,Low,No,No,0.224,1
CUST000020,BR017,2024-01-01,Central,Rural,33,Male,Single,4,Tertiary,Farmer,Manufacturing,13,43917.69,32460.67,7678.69,4899.59,0.112,0.175,Unstable,No,3,0,94.4,39289.79,36,21.43,Good,1,No,SAFE-MFI-v1,2023-01-04,2025-11-30,4,0.8808,Medium,No,No,0.329,1
CUST000021,BR035,2024-02-08,East,Rural,51,Male,Divorced,2,Secondary,Salaried,Manufacturing,16,180887.98,74219.58,91716.13,22796.85,0.126,0.507,Moderately Stable,No,10,0,96.4,236039.61,18,26.08,Average,2,Yes,SAFE-MFI-v1,2025-02-15,2023-12-23,9,0.989,Low,No,No,0.386,1
CUST000022,BR020,2025-04-11,Central,Urban,41,Female,Divorced,4,Primary,Trader,Services,19,41816.36,33077.35,10903.23,470.75,0.011,0.261,Unstable,Yes,14,0,73.1,34090.62,12,9.77,Good,6,Yes,SAFE-MFI-v1,2023-06-23,2024-08-04,6,0.9526,Low,No,No,0.162,1
CUST000023,BR041,2024-11-17,North,Urban,35,Female,Married,3,Primary,Self-employed,Retail,1,82567.81,52228.7,20848.77,9476.89,0.115,0.253,Stable,No,19,1,90.2,66235.71,6,22.95,Good,6,Yes,SAFE-MFI-v1,2025-02-25,2025-10-09,3,0.8176,Medium,No,No,0.228,1
CUST000024,BR010,2023-01-12,North,Rural,30,Male,Married,5,Tertiary,Salaried,Services,7,178665.26,84179.83,4225.54,17114.11,0.096,0.024,Stable,No,14,0,46.7,149870.06,36,10.55,Average,4,Yes,SAFE-MFI-v1,2025-10-30,2025-05-23,6,0.9526,Low,No,No,0.168,1
CUST000025,BR036,2025-07-02,South,Rural,33,Female,Divorced,3,Primary,Farmer,Services,15,49922.28,19759.34,13776.57,6112.36,0.122,0.276,Unstable,Yes,14,0,73.9,26820.81,18,24.34,Good,3,Yes,SAFE-MFI-v1,2023-06-15,2023-10-11,6,0.9526,Low,No,No,0.146,1
CUST000026,BR025,2023-11-09,South,Urban,18,Female,Widowed,3,Secondary,Artisan,Transport,13,57969.08,25168.42,3777.23,9550.05,0.165,0.065,Stable,Yes,13,0,89.3,60406.04,36,14.73,Poor,1,No,SAFE-MFI-v1,2025-02-18,2025-09-03,1,0.6225,High,Yes,Yes,0.091,1
CUST000027,BR023,2024-09-03,West,Rural,38,Male,Widowed,4,Primary,Farmer,Transport,15,29593.94,22736.67,4411.78,4327.02,0.146,0.149,Stable,Yes,12,0,66.1,16497.79,24,18.46,Poor,5,Yes,SAFE-MFI-v1,2025-03-17,2023-02-25,1,0.6225,High,Yes,No,0.145,1
CUST000028,BR028,2023-10-05,West,Urban,35,Male,Divorced,6,Tertiary,Farmer,Agriculture,14,137859.81,94630.31,22673.43,1168.68,0.008,0.164,Moderately Stable,Yes,12,0,82.1,148028.19,24,25.88,Good,1,Yes,SAFE-MFI-v1,2023-04-17,2024-12-17,8,0.982,Low,No,No,0.112,1
CUST000029,BR005,2023-03-24,North,Urban,35,Male,Single,4,Primary,Self-employed,Agriculture,15,92945.61,69202.15,17855.83,21049.07,0.226,0.192,Unstable,Yes,6,0,55.8,55741.73,18,14.91,Average,2,Yes,SAFE-MFI-v1,2023-08-23,2023-12-02,5,0.9241,Low,No,No,0.401,1
CUST000030,BR007,2023-02-22,East,Rural,30,Female,Married,7,None,Artisan,Agriculture,3,131080.82,46946.54,40035.57,15833.88,0.121,0.305,Unstable,No,19,1,43.2,179327.18,36,9.1,Average,3,Yes,SAFE-MFI-v1,2025-01-28,2023-05-22,2,0.7311,Medium,No,No,0.32,0
CUST000031,BR022,2023-01-26,West,Rural,36,Male,Widowed,6,Secondary,Trader,Agriculture,13,42739.53,23656.25,4105.95,1400.4,0.033,0.096,Stable,No,20,0,53.5,15324.99,36,16.29,Average,4,Yes,SAFE-MFI-v1,2024-07-03,2024-10-22,4,0.8808,Medium,No,No,0.495,1
CUST000032,BR006,2024-07-25,West,Urban,51,Female,Widowed,3,Secondary,Salaried,Transport,10,85466.96,31319.14,25671.93,43718.48,0.512,0.3,Stable,No,11,1,69.0,31160.22,18,16.17,Good,5,No,SAFE-MFI-v1,2024-07-19,2023-01-21,1,0.6225,High,Yes,No,0.086,1
CUST000033,BR013,2023-06-25,South,Rural,42,Female,Married,2,Tertiary,Trader,Transport,0,63567.95,22812.61,10221.28,3780.8,0.059,0.161,Stable,Yes,12,0,73.4,37700.11,18,21.36,Average,3,Yes,SAFE-MFI-v1,2025-12-23,2024-12-05,4,0.8808,Medium,No,No,0.151,1
CUST000034,BR048,2024-11-08,East,Rural,22,Female,Divorced,4,Secondary,Self-employed,Retail,6,104226.82,78347.54,10390.94,7496.11,0.072,0.1,Moderately Stable,Yes,17,2,85.2,171207.92,12,17.75,Good,6,Yes,SAFE-MFI-v1,2025-12-10,2024-08-02,4,0.8808,Medium,No,No,0.248,1
CUST000035,BR013,2024-08-29,South,Rural,41,Male,Divorced,1,None,Artisan,Agriculture,8,164931.39,68068.87,147187.76,29620.65,0.18,0.892,Stable,No,17,0,44.1,144738.12,12,24.59,Average,4,Yes,SAFE-MFI-v1,2023-01-26,2024-08-05,8,0.982,Low,No,No,0.158,1
CUST000036,BR029,2024-11-28,South,Urban,22,Female,Widowed,5,None,Salaried,Transport,15,83819.36,48909.68,37551.16,7021.52,0.084,0.448,Stable,No,1,0,80.0,82889.82,36,13.25,Poor,1,No,SAFE-MFI-v1,2023-08-31,2025-05-02,-1,0.3775,High,Yes,No,0.264,0
CUST000037,BR040,2024-04-07,Central,Rural,56,Female,Widowed,6,Secondary,Artisan,Transport,9,66911.02,45344.59,14122.62,8920.46,0.133,0.211,Unstable,No,19,2,63.4,36630.42,6,25.46,Poor,2,Yes,SAFE-MFI-v1,2024-06-25,2023-06-16,-4,0.1192,High,Yes,No,0.237,0
CUST000038,BR012,2023-06-03,South,Urban,27,Female,Widowed,8,Tertiary,Farmer,Retail,7,87202.68,69278.22,5734.65,13284.46,0.152,0.066,Moderately Stable,No,14,0,86.3,86748.46,12,21.93,Poor,6,Yes,SAFE-MFI-v1,2024-02-10,2025-05-20,1,0.6225,High,Yes,No,0.157,1
CUST000039,BR015,2023-11-02,East,Urban,48,Male,Single,9,Primary,Farmer,Services,18,95636.33,71601.96,16057.22,21737.99,0.227,0.168,Moderately Stable,Yes,14,0,87.5,87605.03,24,10.21,Poor,5,Yes,SAFE-MFI-v1,2025-06-15,2023-06-14,2,0.7311,Medium,No,No,0.079,1
CUST000040,BR028,2024-10-22,Central,Rural,61,Male,Single,5,Primary,Artisan,Services,0,37699.79,16897.58,3916.42,3673.83,0.097,0.104,Unstable,No,18,0,77.6,17560.21,12,11.73,Good,6,Yes,SAFE-MFI-v1,2024-07-23,2024-01-07,4,0.8808,Medium,No,No,0.144,0
CUST000041,BR028,2025-10-04,North,Rural,44,Female,Widowed,3,Secondary,Farmer,Retail,5,83442.52,55339.85,17337.31,3139.18,0.038,0.208,Moderately Stable,Yes,15,0,60.7,48437.69,24,27.11,Average,5,Yes,SAFE-MFI-v1,2023-06-30,2024-10-06,5,0.9241,Low,No,No,0.193,1
CUST000042,BR008,2025-04-07,Central,Urban,18,Female,Widowed,5,None,Self-employed,Services,11,40975.06,27680.25,4060.96,2184.54,0.053,0.099,Unstable,No,20,0,54.3,35312.38,6,25.35,Good,5,Yes,SAFE-MFI-v1,2024-08-12,2025-06-16,5,0.9241,Low,No,No,0.279,1
CUST000043,BR032,2023-09-06,North,Urban,39,Male,Divorced,5,None,Artisan,Transport,2,132377.85,98267.99,22250.76,20891.29,0.158,0.168,Stable,No,3,0,94.5,102188.69,6,13.2,Average,2,Yes,SAFE-MFI-v1,2024-08-20,2025-11-08,4,0.8808,Medium,No,No,0.147,1
CUST000044,BR027,2025-09-15,West,Urban,34,Female,Married,3,Tertiary,Self-employed,Services,16,114654.1,72768.65,32074.81,14551.31,0.127,0.28,Unstable,No,2,0,82.9,129573.96,24,8.49,Good,5,Yes,SAFE-MFI-v1,2023-01-06,2024-08-02,6,0.9526,Low,No,No,0.232,1
CUST000045,BR038,2025-09-29,South,Rural,40,Female,Divorced,4,Secondary,Artisan,Services,12,36015.58,19921.09,7300.87,5526.48,0.153,0.203,Moderately Stable,No,6,2,39.8,21731.78,12,13.48,Average,2,No,SAFE-MFI-v1,2025-04-21,2023-03-31,-1,0.3775,High,Yes,No,0.057,0
CUST000046,BR031,2025-02-19,West,Urban,42,Female,Single,4,Primary,Artisan,Services,10,82011.09,60603.01,23350.0,7587.14,0.093,0.285,Stable,No,14,0,64.9,88943.03,24,10.35,Good,2,Yes,SAFE-MFI-v1,2023-11-13,2023-06-03,5,0.9241,Low,No,No,0.276,1
CUST000047,BR017,2024-11-24,Central,Rural,33,Male,Divorced,5,Tertiary,Farmer,Transport,17,95340.69,67587.17,15622.14,7337.79,0.077,0.164,Stable,No,7,0,45.9,15472.26,18,10.85,Poor,6,Yes,SAFE-MFI-v1,2023-07-21,2023-07-25,0,0.5,High,Yes,No,0.087,0
CUST000048,BR045,2024-09-05,North,Urban,30,Female,Single,4,Secondary,Farmer,Manufacturing,13,133569.6,67824.25,41541.82,1568.81,0.012,0.311,Stable,Yes,13,0,86.4,102245.16,12,26.72,Good,1,Yes,SAFE-MFI-v1,2025-02-22,2024-05-08,8,0.982,Low,No,No,0.225,1
CUST000049,BR038,2023-10-21,South,Rural,42,Female,Widowed,2,Secondary,Salaried,Transport,9,69342.03,26769.61,36382.52,8408.62,0.121,0.525,Unstable,No,2,0,94.4,107833.83,18,21.17,Poor,3,Yes,SAFE-MFI-v1,2025-05-18,2024-05-27,0,0.5,High,Yes,No,0.074,1
CUST000050,BR020,2024-02-12,West,Rural,36,Male,Married,5,Tertiary,Artisan,Manufacturing,18,109525.27,71859.83,30435.55,13336.37,0.122,0.278,Moderately Stable,No,9,0,60.2,184095.15,24,17.73,Good,5,No,SAFE-MFI-v1,2023-04-11,2025-10-14,5,0.9241,Low,No,No,0.05,1
CUST000051,BR019,2024-04-16,Central,Rural,37,Male,Married,4,Secondary,Self-employed,Retail,20,174906.72,71572.78,107111.35,27859.97,0.159,0.612,Unstable,Yes,14,0,86.1,180046.46,18,13.16,Average,1,No,SAFE-MFI-v1,2024-10-31,2025-04-30,9,0.989,Low,No,No,0.051,1
CUST000052,BR009,2025-01-19,Central,Rural,33,Male,Divorced,3,Tertiary,Farmer,Manufacturing,3,65442.65,27904.16,4815.05,5842.54,0.089,0.074,Moderately Stable,No,4,1,64.0,104416.68,12,24.11,Poor,6,No,SAFE-MFI-v1,2025-03-24,2025-01-19,-5,0.0759,High,Yes,No,0.288,0
CUST000053,BR026,2023-01-29,East,Urban,32,Female,Divorced,3,Secondary,Artisan,Transport,20,91981.09,33821.87,14993.2,9218.37,0.1,0.163,Moderately Stable,Yes,7,0,59.8,35777.13,36,18.31,Poor,5,Yes,SAFE-MFI-v1,2024-03-29,2023-05-10,1,0.6225,High,Yes,No,0.282,1
CUST000054,BR030,2024-09-10,West,Urban,57,Male,Single,7,None,Farmer,Transport,3,107914.06,84870.14,14272.4,19024.86,0.176,0.132,Stable,Yes,17,0,68.2,59227.24,24,21.53,Good,6,No,SAFE-MFI-v1,2025-05-08,2023-11-13,5,0.9241,Low,No,No,0.349,1
CUST000055,BR042,2023-07-22,West,Rural,48,Female,Single,5,Secondary,Self-employed,Transport,14,141475.11,85614.7,32114.86,23641.9,0.167,0.227,Stable,No,3,2,90.7,154677.16,18,21.91,Good,6,Yes,SAFE-MFI-v1,2025-03-26,2024-07-19,2,0.7311,Medium,No,No,0.091,1
CUST000056,BR008,2025-07-20,North,Urban,34,Male,Single,1,Secondary,Self-employed,Agriculture,18,78509.41,49364.41,23809.65,4796.21,0.061,0.303,Stable,Yes,17,0,87.6,124261.06,12,18.67,Average,2,Yes,SAFE-MFI-v1,2023-10-30,2023-01-06,6,0.9526,Low,No,No,0.309,0
CUST000057,BR010,2023-09-24,Central,Rural,29,Male,Single,5,None,Self-employed,Retail,11,80326.62,30292.8,28079.77,7681.92,0.096,0.35,Stable,No,0,0,80.4,99186.95,6,21.62,Good,4,Yes,SAFE-MFI-v1,2023-05-11,2025-09-02,5,0.9241,Low,No,No,0.091,1
CUST000058,BR024,2025-11-17,Central,Urban,43,Female,Married,4,None,Artisan,Manufacturing,14,99468.09,36757.0,61461.21,10421.11,0.105,0.618,Unstable,No,1,2,72.7,93568.25,24,24.45,Good,1,Yes,SAFE-MFI-v1,2025-06-27,2023-05-31,0,0.5,High,Yes,No,0.486,0
CUST000059,BR021,2023-10-31,North,Urban,47,Female,Divorced,5,Tertiary,Artisan,Services,9,52740.85,38936.39,17506.37,5058.63,0.096,0.332,Moderately Stable,No,13,0,96.4,41794.77,6,21.85,Poor,6,No,SAFE-MFI-v1,2024-03-16,2025-05-30,0,0.5,High,Yes,No,0.161,0
CUST000060,BR015,2025-04-27,East,Rural,48,Female,Widowed,6,None,Farmer,Transport,10,54842.15,20908.06,8769.65,3167.14,0.058,0.16,Unstable,Yes,4,0,78.4,48618.46,24,19.25,Good,1,Yes,SAFE-MFI-v1,2023-07-17,2025-02-02,5,0.9241,Low,No,No,0.352,1
CUST000061,BR036,2023-05-03,Central,Rural,23,Male,Widowed,6,Secondary,Trader,Retail,9,59472.06,30117.08,14920.32,2977.13,0.05,0.251,Unstable,Yes,3,0,62.4,35016.29,12,22.17,Good,4,Yes,SAFE-MFI-v1,2023-08-10,2024-12-18,5,0.9241,Low,No,No,0.157,1
CUST000062,BR024,2023-08-24,East,Urban,34,Female,Single,7,Secondary,Salaried,Agriculture,8,61446.4,38113.2,4310.4,12274.06,0.2,0.07,Unstable,No,10,0,79.8,54392.77,12,21.9,Poor,5,No,SAFE-MFI-v1,2023-05-23,2023-10-18,-1,0.3775,High,Yes,No,0.1,0
CUST000063,BR002,2023-07-07,Central,Urban,34,Female,Widowed,1,Tertiary,Farmer,Agriculture,11,97176.94,41657.56,99568.57,8476.68,0.087,1.025,Moderately Stable,No,18,0,77.1,36795.61,6,18.12,Good,5,Yes,SAFE-MFI-v1,2023-06-17,2024-07-11,7,0.9707,Low,No,No,0.091,1
CUST000064,BR028,2025-09-21,Central,Rural,32,Female,Divorced,2,Primary,Artisan,Retail,11,58257.74,40858.64,20685.85,3597.68,0.062,0.355,Moderately Stable,Yes,18,0,69.4,48371.18,18,24.28,Good,4,No,SAFE-MFI-v1,2023-04-23,2023-01-16,5,0.9241,Low,No,No,0.078,1
CUST000065,BR014,2023-10-09,East,Rural,45,Female,Single,2,None,Trader,Transport,5,46136.55,24745.73,4113.09,4284.58,0.093,0.089,Stable,Yes,7,0,89.0,68916.95,18,12.3,Good,6,Yes,SAFE-MFI-v1,2023-02-08,2025-07-30,7,0.9707,Low,No,No,0.149,1
CUST000066,BR021,2025-05-29,Central,Rural,40,Female,Divorced,5,None,Trader,Retail,10,52611.39,35871.01,13864.36,389.62,0.007,0.264,Stable,No,19,0,44.9,33155.7,18,25.9,Good,1,Yes,SAFE-MFI-v1,2025-03-31,2025-12-09,5,0.9241,Low,No,No,0.142,1
CUST000067,BR020,2024-11-26,South,Rural,39,Male,Single,1,None,Artisan,Services,6,97085.06,35800.39,27909.38,32523.66,0.335,0.287,Moderately Stable,Yes,20,1,76.8,64937.78,12,21.23,Good,3,Yes,SAFE-MFI-v1,2023-11-10,2023-06-04,4,0.8808,Medium,No,No,0.15,1
CUST000068,BR050,2025-10-08,West,Rural,42,Female,Divorced,3,Primary,Trader,Retail,15,140897.28,73530.46,21710.53,12059.23,0.086,0.154,Moderately Stable,No,8,0,62.1,102461.95,18,21.13,Good,3,Yes,SAFE-MFI-v1,2023-03-19,2023-04-27,6,0.9526,Low,No,No,0.182,1
CUST000069,BR019,2023-06-07,North,Rural,24,Female,Single,10,Tertiary,Artisan,Agriculture,10,41175.0,31885.27,1946.78,3065.74,0.074,0.047,Unstable,No,4,2,76.5,28237.5,24,8.86,Good,3,No,SAFE-MFI-v1,2023-06-22,2025-10-30,-1,0.3775,High,Yes,No,0.162,0
CUST000070,BR003,2024-05-22,West,Rural,38,Male,Divorced,6,Secondary,Farmer,Transport,13,67134.57,39878.39,38168.18,7582.98,0.113,0.569,Moderately Stable,No,1,1,90.1,10770.67,18,16.03,Good,1,Yes,SAFE-MFI-v1,2025-03-02,2024-08-04,3,0.8176,Medium,No,No,0.098,1
CUST000071,BR043,2023-11-04,East,Urban,29,Male,Divorced,6,Secondary,Trader,Agriculture,19,71394.51,42794.01,8111.26,1942.74,0.027,0.114,Unstable,No,9,0,28.3,26048.37,18,19.76,Average,6,No,SAFE-MFI-v1,2025-12-14,2023-07-11,3,0.8176,Medium,No,No,0.142,1
CUST000072,BR028,2025-11-07,East,Urban,51,Female,Divorced,2,Primary,Self-employed,Manufacturing,15,97793.47,69652.91,83590.9,24539.61,0.251,0.855,Stable,Yes,4,0,72.2,84349.47,18,10.95,Average,1,Yes,SAFE-MFI-v1,2025-12-14,2023-03-19,6,0.9526,Low,No,No,0.202,1
CUST000073,BR050,2023-09-26,Central,Rural,49,Male,Married,3,Primary,Artisan,Agriculture,14,98026.83,62372.49,38369.45,8200.51,0.084,0.391,Stable,Yes,7,2,46.4,100971.45,36,26.81,Good,6,No,SAFE-MFI-v1,2024-04-24,2025-12-29,1,0.6225,High,Yes,No,0.024,1
CUST000074,BR031,2024-02-02,East,Rural,55,Female,Divorced,4,Tertiary,Artisan,Services,13,82441.12,33806.3,19538.66,22992.39,0.279,0.237,Stable,No,19,0,63.2,70121.7,18,9.14,Good,4,No,SAFE-MFI-v1,2023-07-30,2025-11-22,4,0.8808,Medium,No,No,0.113,1
CUST000075,BR019,2023-06-21,South,Rural,18,Female,Married,2,Tertiary,Salaried,Agriculture,14,135764.63,94970.04,20134.14,14836.66,0.109,0.148,Moderately Stable,No,13,0,79.6,67470.25,36,9.05,Good,4,No,SAFE-MFI-v1,2025-02-06,2024-04-04,5,0.9241,Low,No,Yes,0.189,1
CUST000076,BR007,2024-11-17,South,Urban,49,Male,Divorced,2,Tertiary,Self-employed,Transport,14,59512.04,33253.52,6760.19,9962.9,0.167,0.114,Unstable,Yes,2,0,58.5,13159.14,12,25.2,Average,5,No,SAFE-MFI-v1,2025-12-16,2025-05-16,3,0.8176,Medium,No,No,0.14,1
CUST000077,BR019,2024-05-01,East,Urban,44,Male,Married,3,Tertiary,Artisan,Transport,2,55553.53,43085.33,583.28,8504.05,0.153,0.01,Stable,No,15,0,91.6,84178.56,6,11.29,Average,5,Yes,SAFE-MFI-v1,2023-10-22,2024-08-19,4,0.8808,Medium,No,No,0.243,1
CUST000078,BR040,2024-12-23,South,Rural,30,Male,Single,4,Secondary,Salaried,Services,17,186963.79,130389.6,41246.35,4406.53,0.024,0.221,Unstable,No,16,0,88.7,155408.01,24,18.47,Poor,1,Yes,SAFE-MFI-v1,2025-02-03,2024-06-03,3,0.8176,Medium,No,No,0.346,1
CUST000079,BR023,2023-05-19,East,Urban,35,Male,Divorced,3,Primary,Salaried,Manufacturing,17,127006.12,53479.7,30106.81,27807.53,0.219,0.237,Moderately Stable,No,5,1,89.0,166810.95,24,20.31,Poor,4,Yes,SAFE-MFI-v1,2023-10-04,2023-05-10,0,0.5,High,Yes,No,0.217,1
CUST000080,BR030,2023-03-17,East,Urban,47,Male,Married,1,None,Farmer,Manufacturing,16,100320.18,63763.71,32362.1,10762.42,0.107,0.323,Moderately Stable,No,17,0,80.0,76351.97,6,25.16,Average,2,Yes,SAFE-MFI-v1,2023-04-08,2024-11-10,6,0.9526,Low,No,No,0.083,1
CUST000081,BR024,2025-06-13,West,Rural,32,Female,Divorced,3,Primary,Trader,Transport,11,105389.5,60324.49,25454.34,27999.09,0.266,0.242,Unstable,Yes,2,0,94.9,42303.04,6,20.42,Good,2,Yes,SAFE-MFI-v1,2024-10-19,2023-07-30,7,0.9707,Low,No,No,0.337,1
CUST000082,BR043,2024-08-28,East,Rural,51,Female,Married,3,Tertiary,Farmer,Transport,1,106421.25,70115.35,15954.94,8511.02,0.08,0.15,Unstable,No,11,0,74.9,129136.1,24,23.32,Good,1,Yes,SAFE-MFI-v1,2025-04-11,2025-01-14,5,0.9241,Low,No,No,0.286,1
CUST000083,BR048,2023-11-24,North,Urban,32,Female,Single,8,Primary,Salaried,Agriculture,20,131002.23,72989.36,16913.09,16315.04,0.125,0.129,Moderately Stable,Yes,18,0,86.0,192244.43,12,13.63,Average,3,Yes,SAFE-MFI-v1,2023-06-07,2023-10-09,7,0.9707,Low,No,No,0.288,1
CUST000084,BR026,2024-10-05,East,Urban,55,Male,Single,1,Primary,Trader,Services,12,67303.52,32558.55,3430.84,5889.95,0.088,0.051,Unstable,Yes,8,0,87.0,104673.23,12,27.91,Poor,3,No,SAFE-MFI-v1,2025-10-02,2024-02-14,1,0.6225,High,Yes,No,0.134,1
